card_id,customer_id,card_type,network,card_limit_usd
1,2481,credit,visa,2027.0
2,498,credit,visa,7138.0
3,4975,credit,visa,9015.0
4,787,credit,amex,3271.0
5,506,debit,mastercard,1561.0
6,2055,debit,amex,2755.0
7,4706,debit,visa,1505.0
8,3992,credit,visa,5396.0
9,1798,credit,mastercard,7250.0
10,2275,debit,visa,1991.0
11,304,debit,visa,1593.0
12,1353,credit,visa,5556.0
13,3351,credit,mastercard,6927.0
14,2102,debit,mastercard,1447.0
15,4895,credit,mastercard,9294.0
16,2228,debit,visa,1643.0
17,4235,debit,mastercard,1137.0
18,3636,debit,visa,1687.0
19,2539,credit,visa,5402.0
20,4344,credit,mastercard,6779.0
21,4355,credit,mastercard,10225.0
22,1607,debit,visa,865.0
23,1393,credit,mastercard,2639.0
24,3543,credit,mastercard,6808.0
25,136,credit,mastercard,6850.0
26,3507,credit,amex,10408.0
27,2176,credit,mastercard,5588.0
28,3835,debit,mastercard,2174.0
29,651,debit,visa,2068.0
30,2877,debit,visa,2610.0
31,2681,credit,mastercard,7667.0
32,74,credit,discover,13303.0
33,2624,credit,mastercard,14302.0
34,3280,debit,mastercard,2180.0
35,2027,debit,mastercard,1139.0
36,3062,debit,mastercard,1688.0
37,1632,debit,visa,1865.0
38,3058,credit,visa,3292.0
39,1218,debit,mastercard,1917.0
40,1407,debit,mastercard,2529.0
41,356,credit,mastercard,3779.0
42,490,debit,discover,1632.0
43,673,credit,mastercard,8285.0
44,947,credit,mastercard,18704.0
45,3594,credit,mastercard,5725.0
46,1082,debit,mastercard,855.0
47,1777,credit,mastercard,4902.0
48,869,credit,visa,7467.0
49,2120,credit,mastercard,4853.0
50,1223,debit,visa,1346.0
51,1645,debit,mastercard,2009.0
52,344,debit,visa,732.0
53,2525,credit,mastercard,3035.0
54,1347,credit,visa,9149.0
55,3257,credit,mastercard,11669.0
56,4990,debit,mastercard,2611.0
57,2426,credit,visa,6073.0
58,2557,debit,visa,1835.0
59,4153,debit,amex,1551.0
60,1723,credit,visa,6034.0
61,706,debit,mastercard,1716.0
62,3603,credit,mastercard,5019.0
63,3249,credit,mastercard,12181.0
64,2348,debit,visa,3291.0
65,1934,debit,mastercard,2804.0
66,148,debit,discover,1616.0
67,2786,credit,visa,4186.0
68,2737,debit,mastercard,1861.0
69,2579,credit,visa,8164.0
70,1521,debit,discover,1991.0
71,759,credit,visa,7891.0
72,2856,debit,visa,3570.0
73,3101,credit,visa,5948.0
74,867,credit,discover,9933.0
75,603,debit,mastercard,1736.0
76,2413,debit,visa,2907.0
77,240,credit,visa,9706.0
78,969,credit,amex,4519.0
79,3182,credit,visa,4087.0
80,1495,credit,mastercard,8237.0
81,2303,credit,mastercard,2925.0
82,3436,debit,mastercard,1812.0
83,884,credit,mastercard,3774.0
84,1139,credit,mastercard,14171.0
85,1488,credit,visa,5442.0
86,2086,credit,visa,13720.0
87,2800,credit,visa,5971.0
