merchant_id,mcc,mcc_desc,merchant_country,chargeback_rate,merchant_size
1,5912,Drug Stores,US,0.02028093725512174,mid
2,5411,Grocery Stores,US,0.015597256405294161,small
3,5732,Electronics,IN,0.023132718785215788,small
4,6011,ATM/Cash,US,0.04334218465144846,mid
5,5967,Direct Marketing,US,0.0097567590276234,mid
6,7011,Hotels,US,0.004746063908250973,small
7,5999,Misc Retail,US,0.010912859626090928,small
8,5999,Misc Retail,FR,0.02109488798676301,mid
9,5967,Direct Marketing,US,0.045687110902492174,enterprise
10,5411,Grocery Stores,US,0.0012704648214817331,small
11,5411,Grocery Stores,US,0.010846193846373715,mid
12,5411,Grocery Stores,US,0.02575022872400418,small
13,5967,Direct Marketing,FR,0.03491025553142481,small
14,5812,Restaurants,US,0.001983453977415091,mid
15,4829,Money Transfer,DE,0.05861182519519005,small
16,5912,Drug Stores,US,0.022568496781417872,small
17,4111,Transit,IN,0.016916788873028284,enterprise
18,4829,Money Transfer,GB,0.024721069057725746,small
19,5812,Restaurants,US,0.0027336093541829544,small
20,5541,Service Stations,US,0.008406326446634148,small
21,5944,Jewelry,CA,0.029054591650547214,small
22,6011,ATM/Cash,US,0.01889145777271173,mid
23,5967,Direct Marketing,US,0.02517205347014117,small
24,5411,Grocery Stores,CA,0.008175451331495663,small
25,5944,Jewelry,DE,0.056773213249929996,small
26,5999,Misc Retail,US,0.052796663855325776,mid
27,4111,Transit,FR,0.025913659566464093,enterprise
28,5967,Direct Marketing,US,0.021258144370674394,small
29,5967,Direct Marketing,US,0.010058051731178325,mid
30,5912,Drug Stores,US,0.03126890369545116,enterprise
31,7011,Hotels,CA,0.032830477794969226,small
32,5541,Service Stations,US,0.02301263290617256,small
33,7995,Gambling,US,0.05142391208833924,small
34,6011,ATM/Cash,NG,0.017257577774362248,mid
35,5999,Misc Retail,US,0.01820216404591,small
36,5812,Restaurants,US,0.005004029671632585,small
37,5411,Grocery Stores,US,0.03135089260096499,mid
38,5411,Grocery Stores,US,0.02256669903045795,mid
39,5732,Electronics,US,0.010613051681411216,small
40,4829,Money Transfer,BR,0.031727424441214104,small
41,5541,Service Stations,US,0.003488030246004935,small
42,5732,Electronics,US,0.019391297625004612,enterprise
43,4814,Telecom,US,0.017999729971953538,mid
44,4814,Telecom,FR,0.01685006380197997,small
45,5541,Service Stations,US,0.01047296295632523,mid
46,5812,Restaurants,US,0.03157630257685257,small
47,5912,Drug Stores,US,0.04431131680179519,mid
48,5541,Service Stations,US,0.007265744295342693,small
49,5812,Restaurants,US,0.008997697753659354,small
50,7011,Hotels,US,0.017885853432134367,small
51,4814,Telecom,US,0.021378106169923517,small
52,4814,Telecom,US,0.03660380840074098,mid
53,5967,Direct Marketing,NG,0.022865092875163195,small
54,5999,Misc Retail,DE,0.022839662458995408,small
55,4814,Telecom,US,0.010095248822920158,mid
56,5967,Direct Marketing,US,0.03760244366741912,small
57,5411,Grocery Stores,IN,0.03878765240231544,small
58,5944,Jewelry,US,0.036358852897270456,small
59,5812,Restaurants,BR,0.012282114040823057,enterprise
60,4111,Transit,US,0.022203160912418782,mid
